Articles	Contributions	Source	Labels
Shallow and deep learning for event relatedness classification	"We explore and compare the relatedness classification performance on this new task across a range of shallow learning methods (including the current state-of-the-art methods) built on a set of linguistically lightweight features (some of which not presented elsewhere, e.g. HypernymOverlap via exploitation of BabelNet), being easily portable across languages,"	IPM	Performance Evaluation
Shallow and deep learning for event relatedness classification	We provide initial results of exploiting deep learning techniques for this purpose	IPM	Theory Proposal
Shallow and deep learning for event relatedness classification	We create and make available to the research community a new moderate-size event corpus annotated with event relatedness information that appears bigger than other relevant resources made available to the community.	IPM	Dataset Creation
A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors	a framework to analyze the emotional reactions to mass violent events on Twitter.	IPM	New Algorithm or Method or Technology
A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors	use of the basic emotions to reveal the multiple dimensions of negative sentiment.	IPM	Theory Proposal
A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors	study of the influence of user and event properties on the emotional reaction.	IPM	Theory Proposal
A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors	analysis of eight mass shooting events to generalize the findings.	IPM	Theory Proposal
A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors	"experimented with CNN, biLSTM and BERT to develop emotion classifiers, trained automatically labeled datasets."	IPM	Model Construction
A gated piecewise CNN with entity-aware enhancement for distantly supervised relation extraction	"We propose an entity-aware enhanced word representation with rich context, which enables the downstream modules to learn robust semantic features."	IPM	New Algorithm or Method or Technology
A gated piecewise CNN with entity-aware enhancement for distantly supervised relation extraction	We combine the global gate structure and PCNN to better capture the global and local features of the sentence.	IPM	Model Optimization
A gated piecewise CNN with entity-aware enhancement for distantly supervised relation extraction	"We introduce a gate mechanism after the max-pooling layer of PCNN model, which assigns different weights to the three segments and highlights the effect of crucial segments."	IPM	New Algorithm or Method or Technology
A gated piecewise CNN with entity-aware enhancement for distantly supervised relation extraction	Our model is evaluated on the widely used benchmark dataset and outperforms most of the stateof-the-art methods.	IPM	Model Optimization
Semantic-rebased cross-modal hashing for scalable unsupervised text-visual retrieval	A semantic rebasing mechanism is proposed to learn a sparse semantic graph structure to preserve similarity information of different modalities for binary code learning.	IPM	New Algorithm or Method or Technology
Semantic-rebased cross-modal hashing for scalable unsupervised text-visual retrieval	The proposed method focuses on both similarity preserving and quantization to gain satisfied retrieval performance.	IPM	New Algorithm or Method or Technology
Semantic-rebased cross-modal hashing for scalable unsupervised text-visual retrieval	Auto-encoding structure of both modalities is included to improve the performance.	IPM	Algorithm or Method or Technology Optimization
Semantic-rebased cross-modal hashing for scalable unsupervised text-visual retrieval	Extensive experiments on four popular datasets shows the effectiveness of the proposed method.	IPM	Algorithm or Method or Technology Optimization
An overview of microblog user geolocation methods	"This paper reviews the existing microblog user geolocalisation methods, and summarizes a general framework for microblog user geolocalisation. Along with the framework, we review the studies on user geolocalisation from the aspects of data acquisition, data preprocessing, location representation, user geolocalisation methods categorization, and evaluation metrics."	IPM	Theory Proposal
An overview of microblog user geolocation methods	"Based on the input of the geolocalisation algorithm, we categorize microblog user geolocalisation methods into three categories: text-based methods, network-based methods, and multi-view based methods. We summarize the advantages and limitations of each type of method theoretically."	IPM	Theory Proposal
An overview of microblog user geolocation methods	We conduct a performance comparison of existing methods based on the results reported in existing literature with the most widely used real-world datasets and evaluation metrics.	IPM	Performance Evaluation
An overview of microblog user geolocation methods	The advantages and disadvantages of existing methods are further uncovered by comparing them experimentally. Important research challenges that may need further attention are discussed according to our analysis.	IPM	Theory Proposal
An overview of microblog user geolocation methods	Survey findings conclude that multiview-based methods are superior to the text-based methods as well as the network-based methods.	IPM	Theory Proposal
An overview of microblog user geolocation methods	"Besides that, existing user geolocalisation methods cannot capture the user's home location change, resulting in the misjudged results. A"	IPM	Performance Evaluation
Consumer health information needs: A systematic review of instrument development	A review on the methodological and psychometric quality of both the instruments for consumer health information needs and those for patient needs that contained health information needs sections was conducted;	IPM	Theory Proposal
Consumer health information needs: A systematic review of instrument development	A two-phase literature search strategy was applied to retrieve relevant validation studies;	IPM	algorithm or Method or Technology Optimization
Consumer health information needs: A systematic review of instrument development	"Overall, both groups of questionnaire instruments were not well developed: only structural validity, internal consistency tests and content validity analysis were performed in about 50 percent of them, while other types of validations were missing in most of them;"	IPM	performance Evaluation
Consumer health information needs: A systematic review of instrument development	Instruments used for assessing patient needs were found to have better tests of construct validity and handling of floor and ceiling effects;	IPM	performance Evaluation
Consumer health information needs: A systematic review of instrument development	Theories and frameworks of information needs can be integrated within the development process to improve the design.	IPM	Theory Proposal
"Gender stereotype reinforcement: Measuring the gender bias conveyed by ranking algorithms
 
 Author links open overlay panel"	Gender Stereotype Reinforcement (GSR) measure tailored for Search Engines.	IPM	algorithm or Method or Technology Optimization
"Gender stereotype reinforcement: Measuring the gender bias conveyed by ranking algorithms
 
 Author links open overlay panel"	Evaluation of GSR within the construct validity framework.	IPM	performance Evaluation
"Gender stereotype reinforcement: Measuring the gender bias conveyed by ranking algorithms
 
 Author links open overlay panel"	"Audit, in terms of GSR, of several widely-known and used ranking algorithm."	IPM	performance Evaluation
"Gender stereotype reinforcement: Measuring the gender bias conveyed by ranking algorithms
 
 Author links open overlay panel"	Estimation of the impact of different Word Embedding debiasing approaches both on ranking effectiveness and countering gender bias.	IPM	New Algorithm or Method or Technology
"Gender stereotype reinforcement: Measuring the gender bias conveyed by ranking algorithms
 
 Author links open overlay panel"	Quantitative and qualitative analysis showing suitability of shared IR test collection to analyze gender stereotype reinforcement.	IPM	Theory Proposal
A non-convex semi-supervised approach to opinion spam detection by ramp-one class SVM	Ramp-one OC-SVM as a non-convex semi-supervised technique.	IPM	New Algorithm or Method or Technology
A non-convex semi-supervised approach to opinion spam detection by ramp-one class SVM	The lack of labeled data for the deceptive opinions is addressed by R-OCSVM.	IPM	New Algorithm or Method or Technology
A non-convex semi-supervised approach to opinion spam detection by ramp-one class SVM	The effect of noises and outliers in the training set is diminished by ramp loss function.	IPM	Theory Proposal
A non-convex semi-supervised approach to opinion spam detection by ramp-one class SVM	The challenges and the future direction in opinion spam detection is discussed.	IPM	Theory Proposal
Blockchain-based public auditing for big data in cloud storage	The proposed scheme provides more secure and reliable public auditing services for cloud storage.	IPM	Theory Proposal
Blockchain-based public auditing for big data in cloud storage	"In the scheme, only two entities (Cloud Service Provider and Data Owners) are involved, and blockchain technique instead of a Third Party Auditor is utilized to provide a better auditing service."	IPM	algorithm or Method or Technology Optimization
Blockchain-based public auditing for big data in cloud storage	"A security analysis is provided, and the network performance simulation is conducted on our scheme and others."	IPM	Theory Proposal
Blockchain-based public auditing for big data in cloud storage	"Our scheme outperforms others in terms of security and overheads on computation, communication and storage."	IPM	Algorithm or Method or Technology Optimization
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands	"we define an action command ontology for the humanoid robot NAO containing all the physical movements that NAO can perform, all its body parts and all related words and synonyms;"	IPM	New Algorithm or Method or Technology
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands	we develop an NLP engine to extract from natural language sentences actions to be mapped in the defined ontology and that the robot will perform;	IPM	New Algorithm or Method or Technology
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands	we define the concept of incompatibility among the actions of the robot and give the definition of the robot state;	IPM	Theory Proposal
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands	"we introduce two modes for NAO to operate, STATELESS and STATEFUL. When in STATEFUL mode, NAO performs a recognized action if and only if this is compatible with NAO’s current state;"	IPM	New Algorithm or Method or Technology
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands	we provide new directions for the interaction between the user and a humanoid robot: the user will have to learn the incompatibilities of the robot postures when in STATEFUL mode if he/she wants the robot to perform any action command and the robot has available all the natural language commands given by the user for future forecasting of missing terms;	IPM	Theory Proposal
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands	we run the NLP engine on cloud computing resources and a software layer on the NAO robot which is responsible to interact with the user and communicate with the NLP engine;	IPM	Algorithm or Method or Technology Optimization
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands	"we made publicly available the developed ontology, the NLP engine, and the developed software for the community;"	IPM	Resources
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands	we carried out a performance evaluation on five subjects in order to test our approach and identifying potential weakness of the system that we can improve as future development.	IPM	Performance Evaluation
Building a morpho-semantic knowledge graph for Arabic information retrieval	A morpho-semantic knowledge graph CAMS-KG is built from vocalized Classical Arabic corpus.	IPM	Algorithm or Method or Technology Optimization
Building a morpho-semantic knowledge graph for Arabic information retrieval	"CAMS-KG combines tools for morphological analysis and disambiguation, and implements a concordance builder tool, and KG representation."	IPM	New Algorithm or Method or Technology
Building a morpho-semantic knowledge graph for Arabic information retrieval	KG stores the extracted morpho-semantic knowledge: representing morphological categories and both morphological and semantic relations.	IPM	Applications
Building a morpho-semantic knowledge graph for Arabic information retrieval	BM25 ranking is used for retrieving related documents for a given query.	IPM	Theory Proposal
Building a morpho-semantic knowledge graph for Arabic information retrieval	"CAMS-KG is evaluated on two datasets (Tashkeela, and ZAD). Several query expansion strategies are experimented on 25 queries from ZAD dataset."	IPM	Performance Evaluation
Content-based characterization of online social communities	Analysis and extraction of six syntactic and semantic features from tweets.	IPM	New Algorithm or Method or Technology
Content-based characterization of online social communities	Identification of topics and proper nouns as characteristic features of a community.	IPM	Theory Proposal
Content-based characterization of online social communities	The research provides insights on how people from specific communities share similar content.	IPM	Theory Proposal
Network measures: A new paradigm towards reliable novel word sense detection	First ever attempt to apply complex network theory for precise novel sense detection.	IPM	Applications
Network measures: A new paradigm towards reliable novel word sense detection	Complex network measures boosts the precision values from 0.23-0.32 to 0.74-0.86.	IPM	Performance Evaluation
Network measures: A new paradigm towards reliable novel word sense detection	Gold standard dataset prepared by us for this task are made publicly available.	IPM	Dataset Creation
Adversarial text generation with context adapted global knowledge and a self-attentive discriminator	A word sequence-based adversarial network that exploits the semantics of the corpus by adapting global word embeddings to the context of analysis.	IPM	New Algorithm or Method or Technology
Adversarial text generation with context adapted global knowledge and a self-attentive discriminator	Evaluation framework based on quantitative and qualitative analyses.	IPM	Performance Evaluation
Hierarchical neural query suggestion with an attention mechanism	"We tackle the challenge of query suggestion in a novel way by proposing an Attention-based Hierarchical Neural Query Suggestion model, i.e., AHNQS, which adopts a hierarchical structure containing a user attention mechanism to better capture the user’s search intent."	IPM	Model Optimization
Hierarchical neural query suggestion with an attention mechanism	"We analyse the impact of session length on query suggestion performance and find that AHNQS consistently yields the best performance, especially with short search contexts."	IPM	Performance Evaluation
Hierarchical neural query suggestion with an attention mechanism	"We examine the performance of AHNQS with different numbers of users’ sessions. We find that AHNQS always yields better performance over the best baseline model, especially for users with few search sessions."	IPM	Performance Evaluation
PF-BTS: A Privacy-Aware Fog-enhanced Blockchain-assisted task scheduling	"We proposed a model that exploits Blockchain miner nodes for generating optimal scheduling solutions, namely PF-BTS."	IPM	Model Construction
PF-BTS: A Privacy-Aware Fog-enhanced Blockchain-assisted task scheduling	We deployed the Ant Colony Optimization algorithm in a Fog-Blockchain architecture.	IPM	Algorithm or Method or Technology Optimization
PF-BTS: A Privacy-Aware Fog-enhanced Blockchain-assisted task scheduling	PF-BTS was experimentally proven to provide more optimal solutions than previously proposed Blockchain-based task scheduling models.	IPM	Model Optimization
A Survey on Blockchain for Information Systems Management and Security	Extensive survey carried out regarding the use of blockchain within information systems.	IPM	Theory Proposal
A Survey on Blockchain for Information Systems Management and Security	We conducted the first blockchain-based information system analysis.	IPM	New Algorithm or Method or Technology
A Survey on Blockchain for Information Systems Management and Security	We addressed all issues in the information systems management area.	IPM	Theory Proposal
Exploring askers’ switching from free to paid social Q&A services: A perspective on the push-pull-mooring framework	"Based on the push-pull-mooring framework, we identified and classified factors that influenced askers’ to switch from free to paid Q&A services, using the critical incident technique."	IPM	Theory Proposal
Exploring askers’ switching from free to paid social Q&A services: A perspective on the push-pull-mooring framework	"We calculated the entropy weights of the 16 subcategories before and after the switch, using the entropy weight method."	IPM	Applications
Context-Controlled Topic-Aware Neural Response Generation for Open-Domain Dialog Systems	"Inspired by human conversation patterns, we design a context-controlled topic transiting strategy. It not only can produce relevant transition words to enhance response quality, but also can work as an auxiliary learning task which in turn helps the learning process of response generation converge fast."	IPM	New Algorithm or Method or Technology
Context-Controlled Topic-Aware Neural Response Generation for Open-Domain Dialog Systems	We examine the performance of our CCTA model with extensive experiments on two benchmark conversation datasets. Experimental results validate the superiority of our proposal on response generation task against the state-of-the-art baselines.	IPM	Performance Evaluation
Mining product innovation ideas from online reviews	We introduce a novel deep learning approach to identify innovative ideas of products from online customer reviews.	IPM	New Algorithm or Method or Technology
Mining product innovation ideas from online reviews	Results show that our model outperforms the baselines.	IPM	Model Optimization
Detecting health misinformation in online health communities: Incorporating behavioral features into machine learning based approaches	"We built a health misinformation detection model integrating the linguistic features, the topic features, the sentiment features, and the behavioral features."	IPM	Model Construction
Detecting health misinformation in online health communities: Incorporating behavioral features into machine learning based approaches	"The proposed model, as well as the features, were validated on a real-world dataset, being able to correctly detect about 85% of health misinformation."	IPM	Performance Evaluation
What motivates Chinese consumers to avoid information about the COVID-19 pandemic?: The perspective of the stimulus-organism-response model	A research model based on S-O-R framework is proposed to examine the factors that influence health information avoidance intention during the COVID-19 pandemic.	IPM	Model Construction
Semantics-enabled query performance prediction for ad hoc table retrieval	We systematically investigate the impact of the state-of-the-art post-retrieval query performance prediction methods in the context of ad hoc table retrieval	IPM	Performance Evaluation
Semantics-enabled query performance prediction for ad hoc table retrieval	"We show how neural features derived from neural embedding techniques can be integrated into existing query performance predictors, leading to neural predictors"	IPM	Algorithm or Method or Technology Optimization
Semantics-enabled query performance prediction for ad hoc table retrieval	We evaluate our proposed neural predictors on a gold standard test collection derived from Wikipedia tables. We further analyze our findings from various perspectives and identify areas where neural predictors are able to provide effective performance improvements.	IPM	Performance Evaluation
A novel community answer matching approach based on phrase fusion heterogeneous information network	"As far as we know, it is the first work to propose the phrase information network and employ it to fuse information networks. Following this inspiration, we propose the phrase network generation algorithm (PNG) and construct PFHIN, which seamlessly fuses text semantics with complex entities in CQA."	IPM	New Algorithm or Method or Technology
A novel community answer matching approach based on phrase fusion heterogeneous information network	We define the distance of entities with the same or different types in HIN and propose the optimal entity matching algorithm. The real question-answer matching case in CQA is described in detail.	IPM	New Algorithm or Method or Technology
A novel community answer matching approach based on phrase fusion heterogeneous information network	"We perform an in-depth meta-path analysis of the optimal matching answers. It is found that most meta-paths include the Phrase entity, which proves that phrases serve as a bridge that effectively connects different types of entities in CQA."	IPM	Algorithm or Method or Technology Optimization
CGNet: A graph-knowledge embedded convolutional neural network for detection of pneumonia	A high-performance pneumonia detection system was proposed in this paper.	IPM	Model Construction
CGNet: A graph-knowledge embedded convolutional neural network for detection of pneumonia	A novel graph-based feature reconstruction method was proposed.	IPM	New Algorithm or Method or Technology
CGNet: A graph-knowledge embedded convolutional neural network for detection of pneumonia	The proposed feature reconstruction is efficient yet transplantable to other scenarios.	IPM	Applications
Multi-context embedding based personalized place semantics recognition	"Propose MEPSR, which employs embedding methods, including deep learning based embedding and word embedding, to obtain effective representations from multi-context information."	IPM	Algorithm or Method or Technology Optimization
Multi-context embedding based personalized place semantics recognition	"Jointly model personalized place semantics and App usage sequences by sharing the App representations, which can introduce an inductive bias to improve generalization capability."	IPM	Algorithm or Method or Technology Optimization
Multi-context embedding based personalized place semantics recognition	Conduct extensive experiments on the Mobile Data Challenge (MDC) dataset to evaluate the effectiveness of MEPSR. Experimental results show that our method outperforms existing methods significantly.	IPM	Performance Evaluation
Find right countenance for your input—Improving automatic emoticon recommendation system with distributed representations	"Adapted pre-trained model (i.e. BERT, ELMo, and Word2vec) learned from Japanese data to our emoticon recommendation system."	IPM	Applications
Find right countenance for your input—Improving automatic emoticon recommendation system with distributed representations	Empirically compared our proposed systems with baseline methods that learned surface patterns of texts and emoticons.	IPM	Performance Evaluation
Find right countenance for your input—Improving automatic emoticon recommendation system with distributed representations	Compared pre-trained models learned from different text domains to observe the difference in recommendation results.	IPM	Performance Evaluation
SentiDraw: Using star ratings of reviews to develop domain specific sentiment lexicon for polarity determination	Polarity determination using proposed domain specific lexicon delivers better performance than other lexicon based methods	IPM	Model Optimization
SentiDraw: Using star ratings of reviews to develop domain specific sentiment lexicon for polarity determination	A robust set of experiments have been performed in this study by comparing this method with similar methods that use review labels for training lexicons across several datasets.	IPM	Performance Evaluation
SentiDraw: Using star ratings of reviews to develop domain specific sentiment lexicon for polarity determination	Hybrid method using ML also illustrates the superiority of this method for building domain specific lexicons	IPM	Performance Evaluation
SentiDraw: Using star ratings of reviews to develop domain specific sentiment lexicon for polarity determination	Experiments on popular datasets like Cornell movie reviews dataset and Large movie reviews dataset have also been performed to benchmark against other studies and demonstrate the superior performance of this method.	IPM	Performance Evaluation
Juxtaposed Effect of Social Media Overload on Discontinuous Usage Intention: The Perspective of Stress Coping Strategies	"Examining the impact of social media overload on adaptive and maladaptive coping strategies, and subsequent discontinuous usage intention"	IPM	Performance Evaluation
Juxtaposed Effect of Social Media Overload on Discontinuous Usage Intention: The Perspective of Stress Coping Strategies	Stress dynamics and coping theory is applied to explain the hypotheses.	IPM	Applications
University students’ use of music for learning and well-being: A qualitative study and design implications	"A framework is proposed uniting theories from musicology, psychology and sociology."	IPM	New Algorithm or Method or Technology
University students’ use of music for learning and well-being: A qualitative study and design implications	Results reveal how students use music for learning and well-being.	IPM	Theory Proposal
University students’ use of music for learning and well-being: A qualitative study and design implications	Findings yield implications for the design of online music services and systems.	IPM	Theory Proposal
Phrase embedding learning from internal and external information based on autoencoder	"We propose a method to combine distributed phrase vectors and component word vectors into new phrase vectors by using an automatic encoder. Since this method effectively combines the external context information and internal context information of a phrase, the phrase embedding generated by this method is better than that generated by the distributional and compositional methods."	IPM	New Algorithm or Method or Technology
Phrase embedding learning from internal and external information based on autoencoder	"We use two neural network-based autoencoders to implement the above method. The non-linear transformation of the neural network can achieve complex mapping from input embeddings to new phrase embeddings. Therefore, our method is superior to the previous hybrid method based on linear transformation."	IPM	Algorithm or Method or Technology Optimization
Phrase embedding learning from internal and external information based on autoencoder	"When using only component word embeddings as input, the proposed AE-ALF model consisting of LSTM, FCNN, and AM can effectively learn the order information and semantic information of the component words. Therefore, the semantic representation ability is better than the previous compositional models, and it can also effectively solve the problem of data sparseness."	IPM	Performance Evaluation
Identifying citation patterns of scientific breakthroughs: A perspective of dynamic citation process	A dynamic citation perspective for distinguishing scientific breakthroughs from ordinary scientific works is proposed.	IPM	Theory Proposal
How wide is the citation impact of scientific publications? A cross-discipline and large-scale analysis	This paper uses the whole Web of Science as the empirical study dataset and thus examines all disciplines instead of only a few.	IPM	Theory Proposal
B-FERL: Blockchain based framework for securing smart vehicles	"We present B-FERL; a decentralized security framework for in-vehicle networks. B-FERL ascertains the integrity of in-vehicle ECUs and highlights the existence of threats in a smart vehicle. To achieve this, we define a two-tier blockchain-based architecture, which introduces an initialization operation used to create record vehicles for authentication purposes and a challenge–response mechanism where the integrity of a vehicle’s internal network is queried when it connects to an RSU to ensure its security."	IPM	Algorithm or Method or Technology Optimization
B-FERL: Blockchain based framework for securing smart vehicles	"We conduct a qualitative evaluation of B-FERL to evaluate its resilience to identified attacks. We also conduct a comparative evaluation with existing approaches and highlight the practical benefits of B-FERL. Finally, we characterize the performance of B-FERL via simulations using the CORE simulator against key performance measures such as the time and storage overheads for smart vehicles and RSUs"	IPM	Performance Evaluation
B-FERL: Blockchain based framework for securing smart vehicles	"Our proposal is tailored to meet the integrity requirement for securing smart vehicles and the availability requirement for securing vehicular networks and we provide succinct discussion on the applicability of our proposal to achieve various critical automotive functions such as vehicular forensics, secure vehicular communication and trust management"	IPM	Algorithm or Method or Technology Optimization
Deep context modeling for multi-turn response selection in dialogue systems	We introduce the next utterance prediction pre-training scheme for multi-turn response selection. This NUP based pre-training could empower DCM to exploit context continuity underlying the multi-turn dialogue for better contextual information extraction.	IPM	Model Optimization
Deep context modeling for multi-turn response selection in dialogue systems	"Empirical results on three public datasets show that our proposed model outperforms baseline models significantly, achieving new state-of-the-art performance for multi-turn response selection"	IPM	Performance Evaluation
EtherTwin: Blockchain-based Secure Digital Twin Information Management	"EtherTwin, a blockchain-based Decentralized Application (DApp) for secure information management of Industry 4.0 assets using Digital Twins."	IPM	Model Construction
EtherTwin: Blockchain-based Secure Digital Twin Information Management	Quantitative and qualitative evaluation including performance/cost measurements as well as a real-world industry use case and expert interviews.	IPM	Performance Evaluation
Context-sensitive gender inference of named entities in text	We create four open-source datasets for identifying the gender of named entities.	IPM	Dataset Creation
Context-sensitive gender inference of named entities in text	Propose a novel transformer-based architecture for gender tagging of named entities.	IPM	New Algorithm or Method or Technology
Context-sensitive gender inference of named entities in text	Present multiple supervised and unsupervised learning baselines for gender inference.	IPM	Theory Proposal
Context-sensitive gender inference of named entities in text	Context-sensitive supervised learning outperforms database-reliant gender tagging.	IPM	Performance Evaluation
A multimodal fake news detection model based on crossmodal attention residual and multichannel convolutional neural networks	We present a novel multimodal fake news detection model based on CARN and MCN.	IPM	Model Construction
A multimodal fake news detection model based on crossmodal attention residual and multichannel convolutional neural networks	"To mitigate the influence of noise information which may be generated by crossmodal fusion, the MCN is introduced to extract feature representations from original and fused textual information simultaneously."	IPM	Model Construction
A multimodal fake news detection model based on crossmodal attention residual and multichannel convolutional neural networks	We conduct extensive experiments on four real-world datasets and demonstrate that the proposed model outperforms state-of-the-art methods and learn more discriminable feature representations.	IPM	Model Optimization
A multimodal fake news detection model based on crossmodal attention residual and multichannel convolutional neural networks	We contribute a large scale multimodal fake news dataset from Weibo platform and will make it available to the public	IPM	Dataset Creation
User and item-aware estimation of review helpfulness	We study the impact on review helpfulness of author/item content deviations.	IPM	Theory Proposal
User and item-aware estimation of review helpfulness	We compare helpfulness prediction models based on linear and non-linear regression.	IPM	Performance Evaluation
User and item-aware estimation of review helpfulness	An experimental validation shows that our models outperform the selected baselines.	IPM	Model Optimization
User and item-aware estimation of review helpfulness	We improve collaborative item recommendation using predicted review helpfulness.	IPM	Model Construction
Latency performance modeling and analysis for hyperledger fabric blockchain network	"We present an analytical model to calculate the average transaction latency in Fabric blockchains with single and multiple channels. Besides, we give a quantitative latency analysis of two typical consensus mechanisms in Fabric blockchain, i.e Solo and PBFT consensus."	IPM	Model Construction
Latency performance modeling and analysis for hyperledger fabric blockchain network	"We conduct a series of experiments to evaluate the validity of the proposed analytical model, and the results show that our model predicts the experimental results with an error less than 6.1%."	IPM	Model Construction
Latency performance modeling and analysis for hyperledger fabric blockchain network	We identify performance bottlenecks based on the analytical model and provide feasible insights for Fabric blockchain deployment.	IPM	Performance Evaluation
Multi-level similarity learning for image-text retrieval	"We propose a multi-level similarity method, which can jointly model the semantic-level, structural-level and contextual-level information and improve the robustness of visual and textual representations."	IPM	Algorithm or Method or Technology Optimization
Multi-level similarity learning for image-text retrieval	"We extract the semantic labels in the text dataset and treat them as multiple labels of the corresponding image. Then, the semantic information is modeled by utilizing multi-label convolutional neural network. Moreover, we conduct graph structure to model the relationship of objects and words within image-text pair and improve the retrieval performance by re-ranking mechanism"	IPM	Model Optimization
Multi-level similarity learning for image-text retrieval	"We evaluate our method on two large-scale datasets, Flickr30k and MSCOCO. The extensive experimental results demonstrate the superiority of our method comparing to the state-of-the-art methods for image-text retrieval task."	IPM	Performance Evaluation
Co-LSTM: Convolutional LSTM model for sentiment analysis in social big data	Word embedding model has been applied in constructing vocabulary dictionary.	IPM	Applications
Co-LSTM: Convolutional LSTM model for sentiment analysis in social big data	Co-LSTM is compared with other machine learning and deep learning models.	IPM	New Algorithm or Method or Technology
WabiQA: A Wikipedia-Based Thai Question-Answering System	"We analyze the Thai QA dataset and discuss how it is different from SQuAD, an English QA dataset. Then, we propose WabiQA, a novel Thai QA system that implements a BM25F-based document retriever and a bi-directional LSTM document reader. Our document reader is adapted from DrQA (Chen et al., 2017), a recent end-to-end QA system for the English language."	IPM	Performance Evaluation
WabiQA: A Wikipedia-Based Thai Question-Answering System	"We compare different document retrieval methods, including Google Search API, TF-IDF, and BM25F, and also study the impacts of using different features in the proposed bi-directional LSTM reader."	IPM	Performance Evaluation
WabiQA: A Wikipedia-Based Thai Question-Answering System	"We provide analyses of the effects of document scopes, number of relevant documents, and sizes of training data on the end-to-end performance of WabiQA. As an external evaluation, WabiQA won the first prize award from Thailand’s National Software Contest 20192. Our system outperforms the next best competitors’ systems by 19.99 percentage points in terms of document retrieval accuracy, and 33.10 percentage points in terms of answer prediction F1."	IPM	Theory Proposal
WabiQA: A Wikipedia-Based Thai Question-Answering System	We demonstrate an application of WabiQA by developing a prototype mobile application that aims to facilitate Thai users with visual impairment using voice-to-speech technology and an intelligent question-answer categorization	IPM	Applications
WabiQA: A Wikipedia-Based Thai Question-Answering System	We make the source code and partial data (created by ourselves) available for research purposes at: https://github.com/suppawong/wabiqa.	IPM	Resources
Succinct suffix sorting in external memory	This research puts forward a novel algorithm called nSAIS for inducing suffix array using external memory.	IPM	New Algorithm or Method or Technology
Succinct suffix sorting in external memory	A program of the algorithm nSAIS is engineered for performance evaluation.	IPM	Performance Evaluation
Preliminary data-based matrix factorization approach for recommendation	This paper is the first to constrain the learning procedure in matrix factorization by using imputed data.	IPM	New Algorithm or Method or Technology
Preliminary data-based matrix factorization approach for recommendation	This paper is the first to discuss the relation between imputed data and recommendation quality.	IPM	Theory Proposal
Preliminary data-based matrix factorization approach for recommendation	"We propose an assumption that is based on preference analysis in matrix factorization model. This assumption lets the learning preferences be correctly constrained, thus leading to a more accurate learned model."	IPM	Theory Proposal
Preliminary data-based matrix factorization approach for recommendation	"We design two learning models according to the assumption. One firstly makes the original preferences get close to preliminary preferences, and then creates the concatenated preferences. The other one firstly creates the concatenated preferences, and then makes the original, preliminary and concatenated preferences get close to each other."	IPM	Model Construction
Preliminary data-based matrix factorization approach for recommendation	"Exhaustive experiments are conducted on five datasets: MovieLens 100k, MovieLens 1M, Netflix, Filmtrust and Jester. Experiment results show that PDMF outperforms the state-of-the-art methods by more than 10% in recommendation accuracy."	IPM	Performance Evaluation
Combining advanced computational social science and graph theoretic techniques to reveal adversarial information operations	Applying decomposition optimization method to maximize the individual centrality measure and the network modularity value in the network level in complex social networks.	IPM	Algorithm or Method or Technology Optimization
Combining advanced computational social science and graph theoretic techniques to reveal adversarial information operations	Applying Newman-Girvan modularity method and depth-first search and linear graph algorithm to validate our results.	IPM	Performance Evaluation
Combining advanced computational social science and graph theoretic techniques to reveal adversarial information operations	Evaluating model performance- apply to different social and real-world networks.	IPM	Performance Evaluation
Combining advanced computational social science and graph theoretic techniques to reveal adversarial information operations	"Applying different centrality methods (degree, betweenness, closeness, eigenvector) and compare their results."	IPM	Applications
Accurate and decentralized timestamping using smart contracts on the Ethereum blockchain	The accuracy of certain timestamps like the backdate timestamps generated on the Ethereum blockchain and to resolve the problem a decentalised timestamping is used.	IPM	Theory Proposal
A multi-cascaded model with data augmentation for enhanced paraphrase detection in short texts	We present an efficient strategy for augmenting existing paraphrase and non-paraphrase annotations in a consistent manner.	IPM	Algorithm or Method or Technology Optimization
A multi-cascaded model with data augmentation for enhanced paraphrase detection in short texts	We develop a multi-cascaded learning model for robust paraphrase detection in both clean and noisy texts.	IPM	Model Construction
A multi-cascaded model with data augmentation for enhanced paraphrase detection in short texts	We address both clean and noisy texts in our presentation and show that the proposed model matches current best performances on benchmark datasets of both types.	IPM	Model Construction
A multi-cascaded model with data augmentation for enhanced paraphrase detection in short texts	We analyze the impact of various data augmentation steps and different components of the multi-cascaded model on paraphrase detection performance.	IPM	Performance Evaluation
Efficient generation of spatiotemporal relationships from spatial data streams and static data	We address the problem of generating SRs from spatial data streams and static data in real-time.	IPM	Theory Proposal
